"__mclCluster","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","NumChildren","NumDescendents","selected","shared name"
,"1.0","0.4576","0.0456","0.662","MYO6|EPB41L1|AKAP5|GRIA1|AP2A1|AP2A2|AP2B1|AP2M1|AP2S1|GRIA3|CACNG4|GRIA4|MDM2|CACNG8|DLG1|DLG4|GRIA2|PRKCA|PRKCB|GRIP2|CAMK2A|CAMK2B|CAMK2D|PICK1|CAMK2G|PRKCG|NSF|TSPAN7","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS","28","ENR","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS","1.7321","0.0","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS",,,"false","REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS"
"2","1.0","0.4127","0.0608","0.847","STAM2|UBA52|UBB|UBC|STAM|RPS27A|VPS4A|CHMP2A|CHMP2B|CHMP3|CHMP4A|CHMP4B|CHMP4C|CHMP6|CHMP7|MVB12A|MVB12B|SNF8|TSG101|UBAP1|VPS25|VPS28|VPS36|CHMP5|VPS37A|HGS|VPS37B|VPS4B|VPS37C|VTA1|VPS37D","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT","31","ENR","REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT","1.6488","0.0","REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT",,,"false","REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT"
"1","-1.0","-0.4992","0.011","0.498","AGO1|RUNX1|AGO2|AGO3|H2AC14|TFDP1|AGO4|H2AC18|TFDP2|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|CREBBP|ATP2A1|ATP2A2|ATP2A3|E2F3|RBPJ|ELF3|EP300|LFNG|MFNG|NOTCH2|NOTCH3|POFUT1|POGLUT1|PRKCI|RAB6A|ST3GAL3|RFNG|SEL1L|ST3GAL4|SIRT6|ST3GAL6|TMED2|SNW1|TNRC6A|TNRC6B|CCND1|B4GALT1|TNRC6C|TP53|JUN|KAT2A|KAT2B|MAML1|MAML2|MAML3|MAMLD1|MOV10|NOTCH1|FURIN|E2F1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","101","ENR","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","-1.7818","0.0","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING",,,"false","REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING"
"4","1.0","0.4917","0.0135","0.109","CUL4A|ACTB|CUL4B|DDB1|ACTR5|ACTR8|RAD23B|INO80|INO80B|INO80C|INO80D|INO80E|PARP1|PARP2|NFRKB|UBA52|UBB|UBC|TFPT|RUVBL1|MCRS1|RBX1|RAD23A|RPS27A|DDB2|CETN2|COPS2|COPS3|COPS4|COPS5|COPS6|COPS7A|YY1|COPS7B|COPS8|GPS1|XPC|ACTL6A","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER","38","ENR","REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER","2.003","0.0","REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER",,,"false","REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER"
"13","-0.9961","-0.6145","0.0142","0.652","C3|CASP1|IL18|C3AR1|ENTPD1|IL1A|ENTPD5|IL1B|NFKB1|GSDMD|HMOX1|HSP90AB1|MEFV|NFKB2|NT5E|P2RX4|P2RX7|APP|PYCARD|RELA|SUGT1|TXN|TXNIP|NLRP3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION","24","ENR","REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION","-1.7521","0.0039","REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION",,,"false","REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION"
"1","-1.0","-0.6478","2.0E-4","0.001","H2AC14|H2AC18|H2AC19|H2AC20|H2AC4|H2AC6|H2AC7|H2AC8|H2AJ|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|H2BC7|H2BC8|H2BC9|H3-3A|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|UHRF1|KDM5A|KDM5B|KDM6A|KDM6B|METTL23|TET3|UNG","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT","61","ENR","REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT","-2.1588","0.0","REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT",,,"false","REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT"
"6","1.0","0.528","0.0142","0.12","APOO|CHCHD3|ATP5F1C|ATP5F1D|ATP5F1E|ATP5MC2|ATP5MC3|APOOL|ATP5ME|ATP5MF|ATP5MG|ATP5MJ|ATP5MK|ATP5PB|ATP5PD|ATP5PF|ATP5PO|CHCHD6|DMAC2L|DNAJC11|IMMT|MICOS10|MICOS13|TMEM11|MTX2|HSPA9|ATP5F1B|MTX1|ATP5F1A|ATP5MC1|SAMM50","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION","31","ENR","REACTOME_CRISTAE_FORMATION","1.9921","0.0","REACTOME_CRISTAE_FORMATION",,,"false","REACTOME_CRISTAE_FORMATION"
"1","0.9758","0.5042","0.0582","0.821","MYC|TFDP1|TFDP2|E2F4|E2F5|LIN37|TOP2A|LIN52|LIN54|RBL1|HDAC1|LIN9|PCNA|RBL2|MAX|RBBP4|CDC6|CDC25A|E2F1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX","19","ENR","REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX","1.659","0.0242","REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX",,,"false","REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX"
"4","1.0","0.4535","0.0195","0.213","CUL4A|CUL4B|DDB1|USP7|ERCC8|POLR2A|ISY1|POLR2B|POLR2C|POLR2D|PRPF19|POLR2E|POLR2F|UVSSA|POLR2G|XAB2|POLR2H|XPA|POLR2I|ZNF830|POLR2J|POLR2K|POLR2L|UBA52|UBB|UBC|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|PPIE|TCEA1|RBX1|RPS27A|COPS2|COPS3|COPS4|COPS5|COPS6|COPS7A|COPS7B|COPS8|GPS1|ERCC6|AQR","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX","51","ENR","REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX","1.9279","0.0","REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX",,,"false","REACTOME_FORMATION_OF_TC_NER_PRE_INCISION_COMPLEX"
"1","-1.0","-0.5606","0.0022","0.054","ARID2|CARM1|CCND1|COPRS|PBRM1|PRMT3|PRMT5|PRMT7|RPS2|H2AC14|SMARCA2|H2AC18|SMARCA4|H2AC19|SMARCB1|H2AC20|SMARCC1|H2AC4|SMARCC2|H2AC6|SMARCD1|H2AC7|SMARCD2|H2AC8|SMARCD3|H2AJ|SMARCE1|H2AX|WDR77|H2AZ2|RBBP7|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|H3C4|JAK2|H3C6|H3C7|H3C8|H4C1|H4C11|H4C12|H4C13|H4C14|H4C16|H4C2|H4C3|H4C4|H4C5|H4C8|H4C9|H2AC11|H2AC12|H2AC13|H2AC15|H2AC16|H2AC17|H2AC21|H2AC25|DNMT3A|PRMT1|PRMT6|WDR5|CDK4|ACTL6A|ACTL6B|ARID1A|ARID1B","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RMTS_METHYLATE_HISTONE_ARGININES","73","ENR","REACTOME_RMTS_METHYLATE_HISTONE_ARGININES","-1.9209","0.0","REACTOME_RMTS_METHYLATE_HISTONE_ARGININES",,,"false","REACTOME_RMTS_METHYLATE_HISTONE_ARGININES"
"1","1.0","0.464","0.0107","0.06","AKT1|UBA52|UBB|UBC|TACC3|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|CUL1|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSMF1|YWHAZ|RBX1|RPS27A|SEM1|FBXW7|SKP1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING","53","ENR","REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING","2.0803","0.0","REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING",,,"false","REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING"
"1","0.9869","0.4845","0.0631","0.868","CDK1|MCM8|POLA1|POLA2|PRIM1|PRIM2|TFDP1|TFDP2|PPP2R3B|CCNB1|ORC1|PPP2CA|ORC2|PPP2CB|ORC3|PPP2R1A|RB1|ORC4|PPP2R1B|ORC5|ORC6|E2F1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","22","ENR","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION","1.6359","0.0131","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",,,"false","REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION"
"2","1.0","0.4661","0.0","0.0","ISY1|PRPF19|XAB2|ZNF830|DDX39B|BCAS2|BUD13|BUD31|C9ORF78|CACTIN|CCAR1|CCDC12|CDC5L|CHERP|CRNKL1|CTNNBL1|CWC15|CWC22|RBMX|CWC25|CWC27|CWF19L2|DDX46|DHX15|DHX16|DHX35|DHX8|DNAJC8|HSPA8|FAM32A|SRRM1|FAM50A|FUS|GCFC2|GPATCH1|DHX9|GPKOW|TRA2B|HNRNPA3|HNRNPH2|HNRNPL|HNRNPR|HTATSF1|IK|LENG1|LSM8|LUC7L3|MFAP1|NKAP|NSRP1|PCBP1|PHF5A|PLRG1|PCBP2|PNN|PPIL1|PPIL3|PPIL4|PPP1R8|PPWD1|PQBP1|PRCC|PRKRIP1|PRPF18|PRPF3|PRPF31|EIF4A3|PRPF38A|PRPF4|PRPF40A|PUF60|SNU13|RBM10|RBM17|RBM22|RBM25|RBM39|RBM42|RBM5|RBMX2|RNF113A|SART1|SDE2|SF1|SF3A1|SF3A2|SF3A3|SMNDC1|SMU1|PPIL2|SNIP1|SNRNP27|SNRNP70|SNRPA|SNRPB2|SNRPC|SNRPN|SRRM2|SRSF10|SRSF12|SRSF8|STEEP1|SUGP1|SYF2|TCERG1|TFIP11|U2SURP|UBL5|USP39|WBP11|GTF2F1|WBP4|GTF2F2|WDR70|YJU2|ZMAT2|HNRNPD|HNRNPA2B1|HNRNPF|ACIN1|ALYREF|U2AF2|NCBP1|NCBP2|SNRPA1|DDX5|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|HNRNPU|SRRT|CASC3|MAGOH|MAGOHB|DDX41|RBM8A|RNPS1|UPF3B|PPIE|SF3B1|MTREX|RBM7|LSM2|LSM3|SNRPB|LSM4|SNRPD1|LSM5|SNRPD2|LSM6|SNRPD3|LSM7|SNRPE|SNRPF|SNRPG|PPIG|PPIH|HNRNPC|SAP18|HNRNPA1|HNRNPH1|HNRNPM|HNRNPK|ZCRB1|SNW1|DDX23|DDX42|EFTUD2|PDCD7|PTBP1|PRPF6|PRPF8|RNPC3|SF3B2|SF3B3|SF3B4|SF3B5|SF3B6|SNRNP200|SNRNP25|SNRNP35|SNRNP40|SNRNP48|SRSF1|SRSF2|SRSF6|SRSF7|TXNL4A|ZMAT5|ZRSR2|CDC40|DHX38|SLU7|YBX1|SRSF11|SRSF3|SRSF4|SRSF5|SRSF9|U2AF1|U2AF1L4|AQR","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MRNA_SPLICING","211","ENR","REACTOME_MRNA_SPLICING","2.6407","0.0","REACTOME_MRNA_SPLICING",,,"false","REACTOME_MRNA_SPLICING"
,"0.9704","0.3906","0.0905","0.976","RGS6|CCT2|CCT8|GNA11|PDCL|GNA14|GNAQ|GNB2|GNB3|GNB4|CCT3|GNB5|CCT4|GNG10|CCT5|GNB1|GNG11|CCT6A|GNG12|CCT6B|GNG2|CCT7|GNG3|GNG4|GNG5|GNG7|GNG8|CSNK2A1|CSNK2A2|CSNK2B|RGS11|TCP1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING","32","ENR","REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING","1.5545","0.0296","REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING",,,"false","REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING"
"1","0.9774","0.4732","0.0713","0.916","ANAPC1|ANAPC10|ANAPC11|ANAPC15|FZR1|ANAPC16|ANAPC2|ANAPC4|SKP2|ANAPC5|ANAPC7|RB1|UBE2C|UBE2D1|CDC16|UBE2E1|CDC23|UBE2S|CDC26|CDC27","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS","20","ENR","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS","1.6053","0.0226","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",,,"false","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS"
"4","1.0","0.3602","0.0629","0.87","CUL4A|CUL4B|DDB1|ERCC5|USP7|ERCC8|POLR2A|ISY1|POLR2B|POLR2C|POLR2D|PRPF19|POLR2E|POLR2F|UVSSA|POLR2G|XAB2|POLR2H|XPA|POLR2I|ZNF830|POLR2J|POLR2K|PCNA|POLR2L|UBA52|ERCC1|POLD1|UBB|ERCC4|POLD2|UBC|POLD3|POLD4|POLE|POLE2|POLE3|POLK|POLE4|RFC1|RFC2|RFC3|RFC4|RFC5|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|RPA1|MNAT1|PPIE|RPA2|RPA3|TCEA1|RBX1|RPS27A|ERCC6|AQR","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_DUAL_INCISION_IN_TC_NER","63","ENR","REACTOME_DUAL_INCISION_IN_TC_NER","1.6352","0.0","REACTOME_DUAL_INCISION_IN_TC_NER",,,"false","REACTOME_DUAL_INCISION_IN_TC_NER"
"1","1.0","0.4455","0.0289","0.401","CHEK1|MCM6|MCM7|ATR|HUS1|MCM8|RAD1|RAD17|RAD9A|RAD9B|ORC1|ORC2|ORC3|ORC4|ORC5|ORC6|RFC2|RFC3|RFC4|RFC5|CLSPN|CDC45|CDC6|RPA1|CDC7|RPA2|RPA3|CDK2|DBF4|CDC25A|MCM10|CDC25C|MCM2|MCM3|ATRIP|MCM4|MCM5","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","37","ENR","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","1.8268","0.0","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",,,"false","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS"
"5","1.0","0.4952","0.0102","0.036","IFT122|IFT140|IFT172|IFT52|IFT57|TRIP11|TTC21B|WDR19|WDR35|CLUAP1|DYNC2I1|DYNC2I2|KIF3B|DYNC2LI1|KIF3C|DYNLRB1|DYNLT2B|IFT20|IFT22|IFT25|IFT27|KIFAP3|IFT43|IFT46|IFT56|IFT70A|IFT70B|IFT74|IFT80|IFT81|TRAF3IP1|IFT88|TNPO1|TUBA1A|TUBA1B|TUBA1C|TUBA4A|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|KIF3A|KIF17|DYNC2H1|DYNLL1|DYNLL2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INTRAFLAGELLAR_TRANSPORT","49","ENR","REACTOME_INTRAFLAGELLAR_TRANSPORT","2.1308","0.0","REACTOME_INTRAFLAGELLAR_TRANSPORT",,,"false","REACTOME_INTRAFLAGELLAR_TRANSPORT"
"13","-0.9904","-0.6301","0.0486","0.995","CASP1|NFKB1|PANX1|HMOX1|HSP90AB1|MEFV|NFKB2|APP|P2RX7|PYCARD|RELA|SUGT1|TXN|TXNIP|NLRP3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_THE_NLRP3_INFLAMMASOME","15","ENR","REACTOME_THE_NLRP3_INFLAMMASOME","-1.6296","0.0096","REACTOME_THE_NLRP3_INFLAMMASOME",,,"false","REACTOME_THE_NLRP3_INFLAMMASOME"
"12","0.9885","0.5402","0.0551","0.778","DCP1B|DDX6|EDC3|EDC4|LSM1|LSM2|LSM3|LSM4|DCP1A|LSM5|LSM6|XRN1|LSM7|PATL1|DCP2","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE","15","ENR","REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE","1.6801","0.0115","REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE",,,"false","REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE"
"4","1.0","0.4131","0.0121","0.046","CUL4A|ACTB|CUL4B|DDB1|ACTR5|ERCC5|ACTR8|ERCC8|POLR2A|RAD23B|ISY1|POLR2B|POLR2C|POLR2D|PRPF19|POLR2E|USP45|INO80|POLR2F|UVSSA|INO80B|LIG1|POLR2G|XAB2|INO80C|LIG3|POLR2H|RNF111|XPA|INO80D|POLR2I|ZNF830|INO80E|PARP1|POLR2J|PARP2|POLR2K|PCNA|POLR2L|NFRKB|ERCC1|POLD1|ERCC4|POLD2|POLD3|TFPT|POLD4|POLE|POLE2|POLE3|POLK|POLE4|RFC1|RFC2|RFC3|RFC4|RFC5|XRCC1|SUMO2|CCNH|CDK7|ERCC2|ERCC3|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|RPA1|MNAT1|PPIE|RPA2|RPA3|TCEA1|RBX1|RPS27A|DDB2|PIAS1|PIAS3|SUMO3|XPC|ERCC6|ACTL6A|UBE2N|UBE2V2|USP7|UBA52|UBB|UBC|MCRS1|RAD23A|YY1|SUMO1|RUVBL1|UBE2I|CETN2|COPS2|COPS3|COPS4|COPS5|COPS6|COPS7A|COPS7B|COPS8|GPS1|ELL|AQR|CHD1L","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NUCLEOTIDE_EXCISION_REPAIR","108","ENR","REACTOME_NUCLEOTIDE_EXCISION_REPAIR","2.1128","0.0","REACTOME_NUCLEOTIDE_EXCISION_REPAIR",,,"false","REACTOME_NUCLEOTIDE_EXCISION_REPAIR"
"1","-1.0","-0.4991","0.0159","0.716","H2AC14|H2AC18|POLR2E|H2AC19|POLR2F|H2AC20|H2AC4|POLR2H|H2AC6|H2AC7|H2AC8|POLR2K|H2AJ|POLR2L|H2AX|H2AZ2|H2BC10|H2BC11|H2BC12|H2BC13|H2BC14|H2BC15|H2BC17|H2BC21|H2BC26|H2BC3|H2BC4|H2BC5|H2BC6|TAF1A|H2BC7|TAF1B|H2BC8|TAF1C|H2BC9|TAF1D|H3-3A|TBP|H3-3B|H3C1|H3C10|H3C11|H3C12|H3C13|H3C14|H3C2|H3C3|CCNH|H3C4|CDK7|H3C6|ERCC2|H3C7|ERCC3|H3C8|POLR1A|GTF2H1|H4C1|POLR1B|GTF2H2|H4C11|POLR1C|GTF2H3|H4C12|POLR1D|GTF2H4|H4C13|POLR1E|GTF2H5|H4C14|POLR1F|H4C16|MNAT1|POLR1G|H4C2|POLR1H|RRN3|H4C3|UBTF|H4C4|H4C5|H4C8|H4C9|CBX3","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE","84","ENR","REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE","-1.739","0.0","REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE",,,"false","REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE"
"3","-0.9989","-0.4964","0.0529","0.996","ADAM10|ADAM17|COL1A1|COL1A2|COL2A1|COL3A1|COL10A1|COL11A1|COL11A2|COL12A1|COL14A1|COL15A1|COL18A1|COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL4A6|COL5A1|COL5A2|COL5A3|COL6A1|COL6A2|COL6A3|COL7A1|COL8A1|COL8A2|COL9A1|COL9A2|COL9A3|CTSB|CTSL|COL13A1|COL16A1|COL23A1|MMP1|MMP2|MMP13|MMP7|MMP9|ADAM9|COL19A1|CTSD|CTSK|MMP10|MMP11|COL26A1|MMP14|MMP15|MMP19|PHYKPL|FURIN","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_COLLAGEN_DEGRADATION","53","ENR","REACTOME_COLLAGEN_DEGRADATION","-1.6198","0.0011","REACTOME_COLLAGEN_DEGRADATION",,,"false","REACTOME_COLLAGEN_DEGRADATION"
"1","1.0","0.4432","0.0287","0.392","CHEK1|EXO1|ATR|HUS1|DNA2|RAD1|RAD17|RAD9A|RAD9B|RHNO1|RMI1|RMI2|TOPBP1|KAT5|WRN|BARD1|PALB2|RAD51AP1|RAD51D|RFC2|RFC3|RFC4|RFC5|XRCC2|XRCC3|ATM|SEM1|BLM|BRCA1|BRCA2|MRE11|NBN|RAD50|RAD51|RAD51C|RBBP8|RAD51B|RPA1|RPA2|RPA3|TOP3A|ATRIP|BRIP1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE","43","ENR","REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE","1.8307","0.0","REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",,,"false","REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE"
"1","1.0","0.3331","0.0426","0.622","CDK9|CD247|KPNA1|HLA-A|HMGA1|AP1B1|PSMA1|AP1G1|PSMA2|PSMA3|AP1S1|PSMA4|AP1S2|PSMA5|AP1S3|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|AP2A1|PSME1|AP2A2|PSME2|AP2B1|PSME3|AP2M1|PSME4|AP2S1|PSMF1|KPNB1|RAC1|RANBP2|CD4|RBX1|RPS27A|SEM1|ELOC|NDC1|SKP1|PACS1|PPIA|NUP107|NUP133|NUP153|NUP155|NUP160|NUP188|NUP205|FYN|NUP210|NUP214|NUP35|NUP37|NUP42|NUP43|NUP50|NUP54|NUP58|NUP62|NUP85|NUP88|NUP93|TPR|NUP98|PSIP1|UBA52|UBB|UBC|APOBEC3G|POM121|POM121C|ARF1|AAAS|BTRC|RAE1|RAN|RANGAP1|RCC1|SEC13|SEH1L|AP1M1|BANF1|ELMO1|RANBP1|CUL5|ELOB|PAK2|ATP6V1H|XPO1|SLC25A4|SLC25A5|SLC25A6|B2M|NPM1|CCNT1","https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","123","ENR","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","1.7477","0.0","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS",,,"false","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
